Year,VNINDEX,VNINDEX_cleaned,VNINDEX_is_outlier,BVH,BVH_cleaned,BVH_is_outlier,CSM,CSM_cleaned,CSM_is_outlier,CTG,CTG_cleaned,CTG_is_outlier,CII,CII_cleaned,CII_is_outlier,DPM,DPM_cleaned,DPM_is_outlier,FLC,FLC_cleaned,FLC_is_outlier,EIB,EIB_cleaned,EIB_is_outlier,DRC,DRC_cleaned,DRC_is_outlier,FPT,FPT_cleaned,FPT_is_outlier,HAG,HAG_cleaned,HAG_is_outlier,HCM,HCM_cleaned,HCM_is_outlier,GMD,GMD_cleaned,GMD_is_outlier,HPG,HPG_cleaned,HPG_is_outlier,IJC,IJC_cleaned,IJC_is_outlier,HSG,HSG_cleaned,HSG_is_outlier,MBB,MBB_cleaned,MBB_is_outlier,MSN,MSN_cleaned,MSN_is_outlier,ITA,ITA_cleaned,ITA_is_outlier,OGC,OGC_cleaned,OGC_is_outlier,KDC,KDC_cleaned,KDC_is_outlier,PVD,PVD_cleaned,PVD_is_outlier,PPC,PPC_cleaned,PPC_is_outlier,PVT,PVT_cleaned,PVT_is_outlier,VCB,VCB_cleaned,VCB_is_outlier,SSI,SSI_cleaned,SSI_is_outlier,STB,STB_cleaned,STB_is_outlier,REE,REE_cleaned,REE_is_outlier,VIC,VIC_cleaned,VIC_is_outlier,VNM,VNM_cleaned,VNM_is_outlier,NGANHANG,NGANHANG_cleaned,NGANHANG_is_outlier,KHOANGSAN,KHOANGSAN_cleaned,KHOANGSAN_is_outlier,NANGLUONG,NANGLUONG_cleaned,NANGLUONG_is_outlier,VN30,VN30_cleaned,VN30_is_outlier,UPCOM,UPCOM_cleaned,UPCOM_is_outlier,CONGNGHE,CONGNGHE_cleaned,CONGNGHE_is_outlier
2012-01-03,351.65,351.65,False,36.775,36.775,False,3.08,3.08,False,10.015,10.015,False,9.965,9.965,False,12.155,,True,11.375,11.375,False,11.315,11.315,False,5.225,5.225,False,15.83,15.83,False,13.425,13.425,False,7.885,7.885,False,9.63,9.63,False,3.745,3.745,False,8.83,8.83,False,1.73,1.73,False,6.65,6.65,False,57.245,57.245,False,4.76,4.76,False,7.16,7.16,False,8.62,8.62,False,18.785,18.785,False,4.415,4.415,False,2.33,2.33,False,11.23,11.23,False,8.505,8.505,False,10.195,10.195,False,6.64,6.64,False,24.97,24.97,False,28.51,28.51,False,352.715,352.715,False,350.835,350.835,False,350.455,350.455,False,380.15,,True,33.7,33.7,False,345.5,345.5,False
2012-01-04,349.05,349.05,False,37.35,37.35,False,3.025,3.025,False,9.96,9.96,False,9.615,9.615,False,11.85,,True,12.275,12.275,False,11.24,11.24,False,5.195,5.195,False,16.08,16.08,False,13.19,13.19,False,7.665,7.665,False,9.49,9.49,False,3.675,3.675,False,9.045,9.045,False,1.69,1.69,False,6.62,6.62,False,56.61,56.61,False,4.795,4.795,False,6.84,6.84,False,8.48,8.48,False,18.29,18.29,False,4.33,4.33,False,2.41,2.41,False,11.585,11.585,False,8.255,8.255,False,10.5,10.5,False,6.785,6.785,False,25.095,25.095,False,28.03,28.03,False,353.56,353.56,False,350.535,350.535,False,347.66,347.66,False,372.25,,True,33.55,33.55,False,346.55,346.55,False
2012-01-05,344.0,344.0,False,36.6,36.6,False,2.96,2.96,False,10.105,10.105,False,9.49,9.49,False,11.72,,True,12.73,12.73,False,11.28,11.28,False,5.165,5.165,False,15.85,15.85,False,12.845,12.845,False,7.49,7.49,False,9.355,9.355,False,3.545,3.545,False,8.47,8.47,False,1.67,1.67,False,6.62,6.62,False,55.015,55.015,False,4.655,4.655,False,6.615,6.615,False,8.27,8.27,False,17.795,17.795,False,4.29,4.29,False,2.445,2.445,False,11.61,11.61,False,8.125,8.125,False,10.66,10.66,False,6.845,6.845,False,25.155,25.155,False,26.99,26.99,False,354.9,354.9,False,349.045,349.045,False,345.34,345.34,False,365.7,,True,33.65,33.65,False,341.605,341.605,False
2012-01-06,338.35,338.35,False,34.94,34.94,False,2.92,2.92,False,10.275,10.275,False,9.345,9.345,False,11.62,,True,13.065,13.065,False,11.2,11.2,False,5.125,5.125,False,15.83,15.83,False,12.25,12.25,False,7.295,7.295,False,9.435,9.435,False,3.455,3.455,False,8.085,8.085,False,1.63,1.63,False,6.59,6.59,False,53.75,53.75,False,4.515,4.515,False,6.39,6.39,False,8.175,8.175,False,17.79,17.79,False,4.23,4.23,False,2.48,2.48,False,11.09,11.09,False,7.885,7.885,False,10.63,10.63,False,6.7,6.7,False,25.03,25.03,False,26.51,26.51,False,347.95,347.95,False,347.365,347.365,False,340.605,340.605,False,362.75,,True,33.6,33.6,False,342.75,342.75,False
2012-01-09,335.8,335.8,False,32.825,32.825,False,2.925,2.925,False,10.27,10.27,False,9.09,9.09,False,11.69,,True,12.93,12.93,False,11.28,11.28,False,5.08,5.08,False,15.85,15.85,False,12.32,12.32,False,7.21,7.21,False,9.38,9.38,False,3.355,3.355,False,7.795,7.795,False,1.64,1.64,False,6.62,6.62,False,51.845,51.845,False,4.585,4.585,False,6.48,6.48,False,7.865,7.865,False,17.645,17.645,False,4.295,4.295,False,2.41,2.41,False,11.065,11.065,False,7.67,7.67,False,10.995,10.995,False,6.785,6.785,False,24.34,24.34,False,25.55,25.55,False,343.365,343.365,False,345.505,345.505,False,339.34,339.34,False,369.95,,True,33.6,33.6,False,342.985,342.985,False
2012-01-10,341.0,341.0,False,32.875,32.875,False,3.045,3.045,False,10.59,10.59,False,9.03,9.03,False,11.975,,True,13.385,13.385,False,11.4,11.4,False,5.125,5.125,False,16.015,16.015,False,12.635,12.635,False,7.435,7.435,False,9.575,9.575,False,3.425,3.425,False,7.62,7.62,False,1.71,1.71,False,6.68,6.68,False,53.745,53.745,False,4.655,4.655,False,6.615,6.615,False,7.94,7.94,False,17.7,17.7,False,4.36,4.36,False,2.41,2.41,False,10.935,10.935,False,8.065,8.065,False,11.435,11.435,False,6.985,6.985,False,23.705,23.705,False,25.55,25.55,False,347.455,347.455,False,345.31,345.31,False,344.485,344.485,False,377.15,,True,33.45,33.45,False,345.905,345.905,False
2012-01-11,348.05,348.05,False,35.105,35.105,False,3.075,3.075,False,10.845,10.845,False,9.215,9.215,False,12.26,,True,14.295,14.295,False,11.585,11.585,False,5.255,5.255,False,16.115,16.115,False,12.525,12.525,False,7.63,7.63,False,9.38,9.38,False,3.425,3.425,False,7.505,7.505,False,1.7,1.7,False,6.81,6.81,False,56.135,56.135,False,4.725,4.725,False,6.705,6.705,False,8.08,8.08,False,18.495,18.495,False,4.39,4.39,False,2.515,2.515,False,11.04,11.04,False,8.375,8.375,False,12.0,12.0,False,6.995,6.995,False,24.155,24.155,False,25.63,25.63,False,358.445,358.445,False,345.055,345.055,False,346.18,346.18,False,381.05,,True,33.45,33.45,False,348.14,348.14,False
2012-01-12,348.3,348.3,False,37.34,37.34,False,2.975,2.975,False,10.955,10.955,False,9.155,9.155,False,12.15,,True,14.49,14.49,False,12.05,12.05,False,5.195,5.195,False,16.065,16.065,False,12.42,12.42,False,7.465,7.465,False,9.46,9.46,False,3.485,3.485,False,6.975,6.975,False,1.69,1.69,False,6.87,6.87,False,58.2,58.2,False,4.55,4.55,False,6.48,6.48,False,7.84,7.84,False,18.735,18.735,False,4.36,4.36,False,2.445,2.445,False,11.205,11.205,False,8.155,8.155,False,11.97,11.97,False,6.81,6.81,False,24.965,24.965,False,25.79,25.79,False,366.625,366.625,False,344.075,344.075,False,342.065,342.065,False,386.3,386.3,False,33.4,33.4,False,345.55,345.55,False
2012-01-13,351.8,351.8,False,39.18,39.18,False,3.02,3.02,False,11.625,11.625,False,9.37,9.37,False,12.205,,True,14.62,14.62,False,12.055,12.055,False,5.14,5.14,False,16.17,16.17,False,12.465,12.465,False,7.63,7.63,False,9.74,9.74,False,3.615,3.615,False,6.9,6.9,False,1.7,1.7,False,7.02,7.02,False,59.63,59.63,False,4.62,4.62,False,6.57,6.57,False,7.815,7.815,False,19.085,19.085,False,4.45,4.45,False,2.445,2.445,False,11.415,11.415,False,8.285,8.285,False,11.91,11.91,False,6.84,6.84,False,24.465,24.465,False,25.87,25.87,False,373.22,373.22,False,344.04,344.04,False,344.675,344.675,False,392.75,392.75,False,33.4,33.4,False,347.645,347.645,False
2012-01-16,358.15,358.15,False,39.4,39.4,False,3.09,3.09,False,11.97,11.97,False,9.525,9.525,False,12.155,,True,14.495,14.495,False,11.835,11.835,False,5.345,5.345,False,16.585,16.585,False,12.8,12.8,False,7.89,7.89,False,9.765,9.765,False,3.685,3.685,False,6.87,6.87,False,1.77,1.77,False,7.205,7.205,False,63.125,63.125,False,4.725,4.725,False,6.75,6.75,False,7.835,7.835,False,19.29,19.29,False,4.48,4.48,False,2.515,2.515,False,11.525,11.525,False,8.625,8.625,False,11.845,11.845,False,6.925,6.925,False,24.275,24.275,False,25.71,25.71,False,374.36,374.36,False,344.115,344.115,False,344.92,344.92,False,396.1,396.1,False,33.35,33.35,False,352.52,352.52,False
