,VNINDEX,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
2012-01-03,351.65,36.775,3.08,10.015,9.965,12.735,11.375,11.315,5.225,15.83,13.425,7.885,9.63,3.745,8.83,1.0043016091968684,6.65,57.245,4.76,7.16,8.62,18.785,4.415,2.33,11.23,8.505,10.195,6.64,24.97,28.51,352.715,350.835,350.455,380.15,33.7,345.5
2012-01-04,349.05,37.35,3.025,9.96,9.615,12.735,12.275,11.24,5.195,16.08,13.19,7.665,9.49,3.675,9.045,0.9895411936137476,6.62,56.61,4.795,6.84,8.48,18.29,4.33,2.41,11.585,8.255,10.5,6.785,25.095,28.03,353.56,350.535,347.66,372.25,33.55,346.55
2012-01-05,344.0,36.6,2.96,10.105,9.49,12.735,12.73,11.28,5.165,15.85,12.845,7.49,9.355,3.545,8.47,0.982078472412158,6.62,55.015,4.655,6.615,8.27,17.795,4.29,2.445,11.61,8.125,10.66,6.845,25.155,26.99,354.9,349.045,345.34,365.7,33.65,341.605
2012-01-06,338.35,34.94,2.92,10.275,9.345,12.735,13.065,11.2,5.125,15.83,12.25,7.295,9.435,3.455,8.085,0.9669838461896731,6.59,53.75,4.515,6.39,8.175,17.79,4.23,2.48,11.09,7.885,10.63,6.7,25.03,26.51,347.95,347.365,340.605,362.75,33.6,342.75
2012-01-07,338.35,34.94,2.92,10.275,9.345,12.735,13.065,11.2,5.125,15.83,12.25,7.295,9.435,3.455,8.085,0.9669838461896731,6.59,53.75,4.515,6.39,8.175,17.79,4.23,2.48,11.09,7.885,10.63,6.7,25.03,26.51,347.95,347.365,340.605,362.75,33.6,342.75
2012-01-08,338.35,34.94,2.92,10.275,9.345,12.735,13.065,11.2,5.125,15.83,12.25,7.295,9.435,3.455,8.085,0.9669838461896731,6.59,53.75,4.515,6.39,8.175,17.79,4.23,2.48,11.09,7.885,10.63,6.7,25.03,26.51,347.95,347.365,340.605,362.75,33.6,342.75
2012-01-09,335.8,32.825,2.925,10.27,9.09,12.735,12.93,11.28,5.08,15.85,12.32,7.21,9.38,3.355,7.795,0.9707789171582248,6.62,51.845,4.585,6.48,7.865,17.645,4.295,2.41,11.065,7.67,10.995,6.785,24.34,25.55,343.365,345.505,339.34,369.95,33.6,342.985
2012-01-10,341.0,32.875,3.045,10.59,9.03,12.735,13.385,11.4,5.125,16.015,12.635,7.435,9.575,3.425,7.62,0.9969486348916096,6.68,53.745,4.655,6.615,7.94,17.7,4.36,2.41,10.935,8.065,11.435,6.985,23.705,25.55,347.455,345.31,344.485,377.15,33.45,345.905
2012-01-11,348.05,35.105,3.075,10.845,9.215,12.735,14.295,11.585,5.255,16.115,12.525,7.63,9.38,3.425,7.505,0.9932517730102834,6.81,56.135,4.725,6.705,8.08,18.495,4.39,2.515,11.04,8.375,12.0,6.995,24.155,25.63,358.445,345.055,346.18,381.05,33.45,348.14
2012-01-12,348.3,37.34,2.975,10.955,9.155,12.735,14.49,12.05,5.195,16.065,12.42,7.465,9.46,3.485,6.975,0.9895411936137476,6.87,58.2,4.55,6.48,7.84,18.735,4.36,2.445,11.205,8.155,11.97,6.81,24.965,25.79,366.625,344.075,342.065,386.3,33.4,345.55
