,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
BVH,1.0,0.15093951138933842,0.5701038798040441,0.6452342592327163,0.09125014029936096,0.14574573251071668,-0.38920824515296876,0.30551940719797516,0.5930621681631828,-0.6551807423733046,0.32999933822249905,0.717238587718093,0.5237875694159122,-0.28431535763874694,0.4901323475205344,0.6309127654796104,-0.3420827809798813,-0.29081389504396216,-0.4807065797982813,0.4678998417928223,-0.39837596734934866,0.050548774882952355,0.2949520507265988,0.7136651087733015,0.4752860222767345,-0.5104406578924265,0.2861380579811603,0.7770334579191875,0.6471902635710124,0.7614744567306441,-0.4515793753761267,0.4533407912172082,0.4638353247758495,0.10298426539678675,0.6345746336595374
CSM,0.15093951138933842,1.0,0.20035700924117542,0.4164370390679127,0.597841195982272,-0.2729002103541552,-0.5283966926043892,0.9297805139537926,0.7361736893029207,-0.16249968968075312,0.8396549547396341,0.6207450765545905,0.794190774961316,0.42770378977063617,0.8394016059955566,0.6547112702481452,-0.6375168502102553,0.17314247022217039,-0.37986866115541734,0.7841505346062467,0.5552201868529133,0.8756881809364302,0.8889919921293621,0.5370133786763331,0.7530471514280056,-0.0793381421740941,0.8625192910750193,0.5303722334051542,0.6432732345781851,0.06299523807499474,-0.6849067132410337,0.8748618385974414,0.8740078267996451,0.741951808668271,0.6302741758397921
CTG,0.5701038798040441,0.20035700924117542,1.0,0.5590727841313757,0.20305285582248905,-0.051597285555909714,-0.19205163105888348,0.41493005892672297,0.5464800887765587,-0.4340529959582576,0.47836419214978293,0.5168167005886832,0.36088924232734626,0.030648321942324183,0.3580962076008404,0.6978718766603348,-0.3788397934298303,-0.28192946913380695,-0.6174290482656906,0.29520638315965925,-0.33733420914659085,0.20360980781379276,0.24050607261265827,0.7570470914990662,0.575155416693561,-0.2262904857862816,0.3776184601149415,0.5103850434085163,0.4591932140340666,0.8634785699610062,-0.5767610367667033,0.487359170353367,0.3908529747533108,0.1854950267688248,0.5850483118215231
CII,0.6452342592327163,0.4164370390679127,0.5590727841313757,1.0,0.2213041850263715,-0.21098267933333828,-0.6040754499540093,0.5045086838099371,0.7788960012930323,-0.6965432055636129,0.5782351789414343,0.8543460407295755,0.7791302520056561,-0.015438542597180032,0.7478894080120628,0.8327389634593657,-0.6031541635148595,-0.5125493208987613,-0.6913651591941982,0.7640868631800568,-0.30702240535589254,0.2784711318221059,0.5435209854795873,0.8152599314392626,0.6601051204837601,-0.5742095928969585,0.6039229657386312,0.8463698935077517,0.8371763265992446,0.48555159918354623,-0.6840479173735843,0.6786385723976882,0.642370192847136,0.36857285731050127,0.8647884085413593
DPM,0.09125014029936096,0.597841195982272,0.20305285582248905,0.2213041850263715,1.0,-0.6437105103169259,-0.23900227501708546,0.48171666337378166,0.2738451431523627,-0.07866663728954357,0.35908297886083584,0.390111882902357,0.3157499540409776,-0.14667733847640513,0.6029440982938217,0.3583917693281421,-0.24289936061100365,0.06400679754438954,-0.06752698039708692,0.40068112691138474,0.22042479723847266,0.5951880114541335,0.3354475933549654,0.25719388193302567,0.2847233069827592,-0.05690502335760911,0.5832862471513042,0.21107580002478754,0.4547084072120637,-0.03559969264228076,-0.4683596191801052,0.5019947174015581,0.537140731769745,0.19134424720599888,0.19124252202480785
FLC,0.14574573251071668,-0.2729002103541552,-0.051597285555909714,-0.21098267933333828,-0.6437105103169259,1.0,0.2631601367002364,-0.19913658786213248,-0.019750736036725464,0.27660168870751206,-0.0013465081262534517,-0.1483372892797289,-0.1363789030266633,0.13778044908294793,-0.3997879549988312,-0.10307733714296886,0.2782188034232597,0.44619295255632885,0.19879640080146532,-0.22020483278124994,0.16445809768307493,-0.20429419371322752,0.009924323930090602,-0.15255494473435283,0.03806442471654884,0.36080422878104745,-0.2105769444631487,-0.07322281751941119,-0.35376870067548233,0.3179554892870221,0.4007063934297483,-0.19463643980564796,-0.08389525561686462,-0.04011086521598818,0.015756810068608212
EIB,-0.38920824515296876,-0.5283966926043892,-0.19205163105888348,-0.6040754499540093,-0.23900227501708546,0.2631601367002364,1.0,-0.6297369350166324,-0.7284653441987416,0.7493746140218429,-0.5869684379187092,-0.6979898214947142,-0.7435051867435118,-0.09343323505215598,-0.6919314776838024,-0.625154733238412,0.8057035890667699,0.45089551906619707,0.7401752063663687,-0.6563881761355386,0.054511612217818486,-0.41671331518810384,-0.6091682793785279,-0.6641405722613128,-0.6032610130811076,0.7208420019460786,-0.5603925029065828,-0.7486788835943895,-0.7979966663417171,-0.06896166423449311,0.798606641975377,-0.7273924027777579,-0.4767246484127624,-0.5150438545440706,-0.672787014604555
DRC,0.30551940719797516,0.9297805139537926,0.41493005892672297,0.5045086838099371,0.48171666337378166,-0.19913658786213248,-0.6297369350166324,1.0,0.8446706166442646,-0.3460140871851931,0.8944714150398386,0.701192167429619,0.8362516284365775,0.4770216765469278,0.8264843881983236,0.7783841349887719,-0.748690697787226,0.03195734929714807,-0.6133017783884924,0.77689570486172,0.36947385126203014,0.8152891242220303,0.8859435289660539,0.737929344456238,0.8640912883924553,-0.22993821316260496,0.8199287288466316,0.6613347789882519,0.7230841163920344,0.2902826855192447,-0.8166291716868331,0.9363091036815725,0.8415020135064926,0.7999007066502329,0.7342548052636634
FPT,0.5930621681631828,0.7361736893029207,0.5464800887765587,0.7788960012930323,0.2738451431523627,-0.019750736036725464,-0.7284653441987416,0.8446706166442646,1.0,-0.5911048470550215,0.8956701672427657,0.8869874681172257,0.9248987073790857,0.2994127293428926,0.831075569247548,0.9284289225677878,-0.8098356463712493,-0.1751839510119114,-0.7413816311355399,0.8299632030891946,0.09268434256791877,0.5927098638501068,0.8555568434263571,0.8776365643851608,0.9331622557458482,-0.43254895900858314,0.7980755376253413,0.8752778826620469,0.8578296681371965,0.5081583432271838,-0.8456301435287138,0.9302411970100067,0.8363253287964952,0.646353855976923,0.9649440285166244
HAG,-0.6551807423733046,-0.16249968968075312,-0.4340529959582576,-0.6965432055636129,-0.07866663728954357,0.27660168870751206,0.7493746140218429,-0.3460140871851931,-0.5911048470550215,1.0,-0.27898441941235347,-0.669774289768744,-0.5498002281814192,0.2526324075804143,-0.5347281126358815,-0.6102931208021707,0.7117566464450846,0.8098646180450766,0.8351250280561148,-0.4454269480783508,0.6061417747631105,-0.02088209925518442,-0.24807226827794504,-0.7600705302580637,-0.3871891485984467,0.914503951272894,-0.26416404734467497,-0.8064211493332718,-0.7925247961705086,-0.37086498305221555,0.7126279078574906,-0.499430803494344,-0.2239016128470841,-0.14249089731878342,-0.6094068055916578
