,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
BVH,1.0,0.16493899821602115,0.5697864317050295,0.6507255175254104,0.09961405636816968,0.15028912218352666,-0.39254853692122127,0.3236377098634799,0.6076410256226975,-0.6598757540222481,0.34376293057321544,0.7246574399467532,0.5364516221309343,-0.2763687601845103,0.5030226616056908,0.6437811039318874,-0.3513864864550415,-0.29063880889489857,-0.4951738096795441,0.47815367766540917,-0.3915022283642141,0.06305068578617568,0.3083399510556861,0.7224528089712593,0.4886360975017659,-0.5130451846607066,0.29974628808568765,0.7857206447195367,0.6572228491898671,0.7595824681671765,-0.46340970352206384,0.46859788863827934,0.4802107104436617,0.1120181349638415,0.6447616323688458
CSM,0.16493899821602115,1.0,0.19642482433298006,0.41124708211943517,0.5927499861036749,-0.26006618043313573,-0.5413191078992847,0.9286387403292099,0.7338968745447211,-0.17279925197024343,0.835324802446374,0.6199325331816695,0.7928453439442888,0.42262656695024053,0.8381748073109024,0.6466152774932553,-0.636675163588802,0.172259359162306,-0.3816348900776613,0.7814099813540679,0.5539658854151805,0.8724278408595105,0.887931322899248,0.5325704323335672,0.7471340488477786,-0.08819992832658098,0.8585843941765634,0.5283720074399033,0.6418193848149739,0.06517666108000364,-0.6812554318553812,0.8734454020311276,0.8707334125817094,0.7379408300461712,0.628738158204694
CTG,0.5697864317050295,0.19642482433298006,1.0,0.5582725562825667,0.19613419246242003,-0.038972381696138814,-0.1953797182441669,0.4164849515974463,0.5523424617982764,-0.4417615574791557,0.4843100288320187,0.5160137752487925,0.35935115919805477,0.02959791501704525,0.35478973649377593,0.7011980186353096,-0.38247992573649764,-0.29137974350117785,-0.6329637900535015,0.29043949266716235,-0.3398295756318589,0.2016047914872323,0.23965911751442612,0.7601417205391571,0.5804461704554423,-0.2273248729260288,0.3789140648034922,0.5107336822500764,0.4581583232919545,0.8663520794148067,-0.581195965108552,0.48974423505830295,0.3887920126490495,0.17793907375368656,0.588449841633173
CII,0.6507255175254104,0.41124708211943517,0.5582725562825667,1.0,0.21837584214769432,-0.19954291412648828,-0.6062443824429848,0.5051904859308017,0.7786685623795201,-0.7043032177192108,0.57772576740987,0.8537733093517113,0.7772604543620355,-0.019568391513151446,0.7448617676616758,0.8332292838099595,-0.6004199430147095,-0.518132484802706,-0.700124653743969,0.7616821462069363,-0.31261667239283814,0.2744294021185074,0.5412667907168933,0.8142029395096099,0.6588357314014668,-0.578416341747873,0.6042285645523222,0.8482972675172111,0.8354686822046858,0.48725360688430264,-0.682080165503764,0.6773042272039882,0.6418611585781673,0.36378315661593097,0.864607943603
DPM,0.09961405636816968,0.5927499861036749,0.19613419246242003,0.21837584214769432,1.0,-0.6340846930964534,-0.2612316740605018,0.4792544029030998,0.2737113298839063,-0.09695972167390676,0.3542304324426249,0.38630587199485894,0.31493672744504725,-0.15517342746114154,0.6021739774063352,0.3486835329814274,-0.2510916393489646,0.049127835967438915,-0.08182999479939632,0.39568489634956716,0.21315904069264335,0.5913821008422696,0.33368790976977725,0.25690331886347234,0.27668473547597466,-0.078948220518808,0.5771165998976411,0.21185457890485773,0.45793582662853954,-0.03578732872009773,-0.4700448917616529,0.49946087636381503,0.5260465151851498,0.1842424821796255,0.19147126336440135
FLC,0.15028912218352666,-0.26006618043313573,-0.038972381696138814,-0.19954291412648828,-0.6340846930964534,1.0,0.27065721602696063,-0.19008297188799061,-0.008021077698505972,0.2866316663437655,0.012067133184366557,-0.13444710439330393,-0.12529514791915183,0.14187721545876839,-0.38596248083472634,-0.08426550737847323,0.2812381051020445,0.46169537598360194,0.2051108577823022,-0.20504266320181994,0.17114851326470673,-0.19092065017450005,0.020932326357240842,-0.1423139397917114,0.0537795710837322,0.3717195331013492,-0.1949686746513757,-0.06493808236504345,-0.345057029643537,0.3237457786668363,0.39472083334045616,-0.18032950849595525,-0.06129163609024593,-0.029720364378776995,0.02890537169122032
EIB,-0.39254853692122127,-0.5413191078992847,-0.1953797182441669,-0.6062443824429848,-0.2612316740605018,0.27065721602696063,1.0,-0.6440973774790822,-0.7278505010142546,0.7424155568469354,-0.5909923958110691,-0.6990930825750656,-0.7482844624548197,-0.09176414380641763,-0.7021266592943198,-0.6276883765044844,0.80477255872984,0.4369988106031171,0.7337074032890871,-0.6640407153891082,0.04416007779106989,-0.4259111754881334,-0.6155559778569861,-0.6633041724642021,-0.6063968853649236,0.7158517938942279,-0.5684016529210754,-0.7445367337176523,-0.8008476450590718,-0.06974075772193424,0.8028552998002007,-0.7340660622186141,-0.49080597368236306,-0.5220600498469185,-0.6680136419520575
DRC,0.3236377098634799,0.9286387403292099,0.4164849515974463,0.5051904859308017,0.4792544029030998,-0.19008297188799061,-0.6440973774790822,1.0,0.846416165003369,-0.36093718391338897,0.8921371273544477,0.7038908579715771,0.8372446558866103,0.46637307526496485,0.828421117403585,0.7749192942893328,-0.7502757866485102,0.02638636238958415,-0.6187920379536813,0.7769633192483909,0.3647639678755709,0.8098979046896734,0.8846957854334416,0.7386480703403687,0.8616849239626444,-0.24075534304687696,0.8178490262517646,0.6631993908302323,0.7256771315368818,0.2967929638227734,-0.8177071147011961,0.9377586191895692,0.8410780917374427,0.7935993532063308,0.7365478696928641
FPT,0.6076410256226975,0.7338968745447211,0.5523424617982764,0.7786685623795201,0.2737113298839063,-0.008021077698505972,-0.7278505010142546,0.846416165003369,1.0,-0.5946399666027594,0.8950140491374153,0.8873741330633909,0.9241073595919106,0.29467484539994726,0.8313068438607414,0.9287238584050755,-0.8042447303760452,-0.1717657955659941,-0.7429638393832645,0.8292380716848777,0.08873559112686463,0.5893155743328853,0.8533898584789689,0.8778662215513647,0.9330054458600644,-0.4334016812816381,0.7974195511682598,0.8741843429253676,0.8563375153894206,0.5175499143549813,-0.8426338949646233,0.9303916982812732,0.8407625625630484,0.6420013808501598,0.9651785844348416
HAG,-0.6598757540222481,-0.17279925197024343,-0.4417615574791557,-0.7043032177192108,-0.09695972167390676,0.2866316663437655,0.7424155568469354,-0.36093718391338897,-0.5946399666027594,1.0,-0.2833741411453017,-0.6723339084067214,-0.557001351250334,0.258025626769279,-0.546953280278052,-0.6175812581506348,0.7140176090494367,0.8067309336275276,0.837957292863824,-0.45327569511931926,0.6036973970473135,-0.026324215419611493,-0.2529636758297888,-0.7663497058493064,-0.3912052727287193,0.9127913167618491,-0.2716547195836842,-0.8100797521493406,-0.7992695623302231,-0.375995539778248,0.7192808483923437,-0.5065667509040369,-0.23827999482782772,-0.144751929946085,-0.6096919292767599
