,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
BVH,1.0,0.16493899821602082,0.5697864317050289,0.6507255175254099,0.09961405636816958,0.15028912218352702,-0.3925485369212211,0.3236377098634803,0.6076410256226961,-0.6598757540222476,0.3437629305732147,0.7246574399467526,0.5364516221309349,-0.27636876018451123,0.5030226616056913,0.6437811039318855,-0.3513864864550411,-0.2906388088948993,-0.4951738096795436,0.4781536776654092,-0.39150222836421306,0.06305068578617577,0.3083399510556857,0.7224528089712591,0.48863609750176606,-0.5130451846607067,0.29974628808568704,0.785720644719537,0.6572228491898668,0.7595824681671772,-0.4634097035220639,0.46859788863827895,0.48021071044366076,0.1120181349638411,0.644761632368845
CSM,0.16493899821602082,1.0,0.19642482433298042,0.411247082119435,0.5927499861036767,-0.26006618043313573,-0.5413191078992856,0.9286387403292156,0.7338968745447226,-0.17279925197024418,0.8353248024463773,0.6199325331816714,0.7928453439442932,0.4226265669502424,0.8381748073109022,0.6466152774932566,-0.6366751635888018,0.1722593591623055,-0.3816348900776614,0.7814099813540699,0.5539658854151804,0.8724278408595096,0.887931322899248,0.5325704323335682,0.7471340488477779,-0.08819992832658106,0.8585843941765637,0.5283720074399032,0.6418193848149734,0.06517666108000378,-0.6812554318553835,0.8734454020311305,0.8707334125817107,0.7379408300461736,0.6287381582046961
CTG,0.5697864317050289,0.19642482433298042,1.0,0.5582725562825662,0.1961341924624198,-0.03897238169613883,-0.19537971824416736,0.41648495159744786,0.5523424617982764,-0.44176155747915574,0.4843100288320192,0.5160137752487927,0.3593511591980551,0.029597915017045298,0.35478973649377626,0.7011980186353092,-0.3824799257364978,-0.29137974350117846,-0.6329637900535017,0.2904394926671625,-0.3398295756318587,0.20160479148723304,0.239659117514426,0.7601417205391556,0.5804461704554421,-0.227324872926029,0.3789140648034916,0.5107336822500768,0.45815832329195477,0.8663520794148057,-0.5811959651085538,0.4897442350583044,0.3887920126490498,0.17793907375368645,0.5884498416331728
CII,0.6507255175254099,0.411247082119435,0.5582725562825662,1.0,0.21837584214769343,-0.199542914126487,-0.6062443824429848,0.505190485930802,0.7786685623795193,-0.7043032177192119,0.5777257674098694,0.8537733093517108,0.7772604543620355,-0.019568391513151692,0.7448617676616759,0.8332292838099591,-0.600419943014709,-0.5181324848027061,-0.7001246537439683,0.7616821462069361,-0.3126166723928381,0.2744294021185072,0.5412667907168921,0.8142029395096092,0.6588357314014671,-0.5784163417478727,0.6042285645523208,0.8482972675172112,0.8354686822046854,0.48725360688430286,-0.6820801655037627,0.6773042272039876,0.6418611585781657,0.3637831566159303,0.8646079436029989
DPM,0.09961405636816958,0.5927499861036767,0.1961341924624198,0.21837584214769343,1.0,-0.6340846930964534,-0.2612316740605002,0.47925440290310006,0.2737113298839061,-0.09695972167390692,0.3542304324426249,0.38630587199485805,0.31493672744504614,-0.15517342746114213,0.6021739774063338,0.3486835329814275,-0.2510916393489634,0.049127835967439,-0.08182999479939627,0.39568489634956844,0.2131590406926433,0.5913821008422688,0.33368790976977714,0.25690331886347245,0.2766847354759744,-0.0789482205188076,0.5771165998976393,0.21185457890485798,0.45793582662853793,-0.03578732872009746,-0.4700448917616529,0.49946087636381553,0.5260465151851481,0.184242482179626,0.19147126336440168
FLC,0.15028912218352702,-0.26006618043313573,-0.03897238169613883,-0.199542914126487,-0.6340846930964534,1.0,0.27065721602695986,-0.1900829718879912,-0.008021077698505958,0.28663166634376563,0.012067133184366516,-0.13444710439330382,-0.12529514791915192,0.14187721545876894,-0.38596248083472673,-0.08426550737847328,0.2812381051020447,0.4616953759836029,0.20511085778230242,-0.2050426632018205,0.17114851326470631,-0.19092065017449975,0.020932326357241265,-0.1423139397917113,0.05377957108373197,0.3717195331013495,-0.19496867465137507,-0.06493808236504356,-0.3450570296435366,0.3237457786668362,0.39472083334045727,-0.18032950849595517,-0.061291636090245696,-0.029720364378777002,0.028905371691220007
EIB,-0.3925485369212211,-0.5413191078992856,-0.19537971824416736,-0.6062443824429848,-0.2612316740605002,0.27065721602695986,1.0,-0.6440973774790838,-0.7278505010142552,0.7424155568469354,-0.5909923958110682,-0.6990930825750632,-0.7482844624548205,-0.09176414380641726,-0.7021266592943189,-0.6276883765044835,0.8047725587298395,0.43699881060311796,0.7337074032890857,-0.6640407153891085,0.044160077791070826,-0.42591117548813223,-0.6155559778569842,-0.6633041724642007,-0.606396885364923,0.7158517938942289,-0.5684016529210739,-0.7445367337176528,-0.80084764505907,-0.06974075772193457,0.8028552998002005,-0.7340660622186153,-0.4908059736823632,-0.5220600498469173,-0.6680136419520577
DRC,0.3236377098634803,0.9286387403292156,0.41648495159744786,0.505190485930802,0.47925440290310006,-0.1900829718879912,-0.6440973774790838,1.0,0.8464161650033714,-0.3609371839133899,0.8921371273544536,0.703890857971579,0.8372446558866128,0.4663730752649667,0.8284211174035846,0.774919294289335,-0.7502757866485115,0.026386362389582776,-0.618792037953683,0.7769633192483915,0.3647639678755726,0.8098979046896749,0.884695785433441,0.7386480703403702,0.8616849239626467,-0.24075534304687723,0.8178490262517659,0.6631993908302336,0.7256771315368824,0.29679296382277465,-0.8177071147011971,0.9377586191895717,0.8410780917374454,0.7935993532063342,0.7365478696928663
FPT,0.6076410256226961,0.7338968745447226,0.5523424617982764,0.7786685623795193,0.2737113298839061,-0.008021077698505958,-0.7278505010142552,0.8464161650033714,1.0,-0.5946399666027596,0.8950140491374136,0.8873741330633905,0.9241073595919121,0.29467484539994837,0.8313068438607408,0.9287238584050742,-0.8042447303760454,-0.17176579556599392,-0.7429638393832648,0.8292380716848776,0.08873559112686552,0.5893155743328872,0.8533898584789692,0.877866221551364,0.9330054458600635,-0.4334016812816382,0.7974195511682577,0.8741843429253675,0.8563375153894196,0.5175499143549803,-0.842633894964624,0.9303916982812731,0.8407625625630484,0.6420013808501593,0.9651785844348406
HAG,-0.6598757540222476,-0.17279925197024418,-0.44176155747915574,-0.7043032177192119,-0.09695972167390692,0.28663166634376563,0.7424155568469354,-0.3609371839133899,-0.5946399666027596,1.0,-0.2833741411453021,-0.6723339084067226,-0.5570013512503348,0.25802562676928004,-0.5469532802780527,-0.6175812581506344,0.7140176090494375,0.8067309336275269,0.8379572928638234,-0.45327569511932025,0.6036973970473127,-0.02632421541961201,-0.2529636758297888,-0.7663497058493061,-0.3912052727287204,0.9127913167618487,-0.271654719583684,-0.8100797521493406,-0.7992695623302227,-0.3759955397782486,0.7192808483923444,-0.5065667509040375,-0.23827999482782833,-0.14475192994608507,-0.6096919292767597
HCM,0.3437629305732147,0.8353248024463773,0.4843100288320192,0.5777257674098694,0.3542304324426249,0.012067133184366516,-0.5909923958110682,0.8921371273544536,0.8950140491374136,-0.2833741411453021,1.0,0.7258699536643716,0.8245066951371562,0.4968793167294558,0.746107287764422,0.8420416091794338,-0.6674086936370853,0.09923870643490747,-0.5676114400955455,0.7421101338552297,0.4050635157476328,0.727609375429924,0.890706894756795,0.7103099277790725,0.9615345616761816,-0.10406808342351385,0.8379227486048283,0.6367234456400935,0.6532422687594164,0.399804275642196,-0.7523465001643688,0.9027376644298545,0.8631018878891059,0.7306055530279761,0.8203243505075329
GMD,0.7246574399467526,0.6199325331816714,0.5160137752487927,0.8537733093517108,0.38630587199485805,-0.13444710439330382,-0.6990930825750632,0.703890857971579,0.8873741330633905,-0.6723339084067226,0.7258699536643716,1.0,0.8665546306001535,0.03391051589192955,0.8720866621042577,0.8970766279895902,-0.6963075096282775,-0.3078006110878397,-0.655672181724249,0.8321858088418028,-0.10127106991782732,0.5331434433102032,0.7006481212666246,0.8395600618824457,0.7779753734731416,-0.5218176199126885,0.7780914756386285,0.894715979036546,0.9153370612893574,0.4962541422593477,-0.8002670967187059,0.8592926898487836,0.8019476336765666,0.480761567986573,0.90893500480618
HPG,0.5364516221309349,0.7928453439442932,0.3593511591980551,0.7772604543620355,0.31493672744504614,-0.12529514791915192,-0.7482844624548205,0.8372446558866128,0.9241073595919121,-0.5570013512503348,0.8245066951371562,0.8665546306001535,1.0,0.3075180048513716,0.9126130547182751,0.8367642640889335,-0.7737423121214824,-0.18067422664798513,-0.6650969731624199,0.950445616761875,0.1722016628373427,0.6391780240607202,0.8988230913261565,0.7919474073914441,0.8331771450316018,-0.444792896918383,0.8187624954985623,0.8590389923548463,0.8816071491884224,0.32067975335593063,-0.793884637101987,0.9046690891682061,0.8796750536586477,0.6683057391457548,0.8982136340438049
IJC,-0.27636876018451123,0.4226265669502424,0.029597915017045298,-0.019568391513151692,-0.15517342746114213,0.14187721545876894,-0.09176414380641726,0.4663730752649667,0.29467484539994837,0.25802562676928004,0.4968793167294558,0.03391051589192955,0.3075180048513716,1.0,0.13253105192366293,0.1787886101794166,-0.19246235013562638,0.32508050255884957,-0.17181634908334956,0.2586689624953987,0.48533167850897624,0.41785605297958495,0.4672534439061892,0.13281781959453692,0.45833876642015925,0.3012937567094387,0.2800749057347921,-0.009578218949675562,-0.03433129156465736,-0.009212519864649315,-0.17688223380787912,0.3187123827238384,0.2935350679197462,0.6019686590259212,0.23345784824418667
