,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
BVH,1.0005076142131974,0.1510161304306524,0.5703932726364324,0.6455617893135449,0.09129646016753323,0.14581971511605235,-0.3894058127901019,0.3056744931914758,0.5933632149490538,-0.6555133214303465,0.3301668505769267,0.7176026682194724,0.5240534514308441,-0.2844596801553147,0.4903811456664828,0.6312330257666557,-0.34225642706159703,-0.2909615163104819,-0.48095059329056344,0.4681373544028692,-0.3985781886525707,0.05057443415954298,0.29510177257975956,0.7140273753259777,0.4755272842169765,-0.5106997648253668,0.2862833057263281,0.7774278911465573,0.647518786547445,0.7618609919878672,-0.45180860348545415,0.4535709134462523,0.46407077417928916,0.10303654167363757,0.6348967527629178
CSM,0.1510161304306524,1.000507614213198,0.20045871330677936,0.41664842842784533,0.5981446686705886,-0.27303873837971476,-0.5286649142757611,0.930252483757831,0.7365473815309916,-0.16258217683287474,0.8400811755288424,0.6210601755782215,0.7945939174866773,0.427920898293362,0.8398276981813368,0.6550436109944644,-0.637840462824576,0.17323035980096418,-0.3800614878869671,0.784548580562898,0.555502024511215,0.8761326927034038,0.8894432570999852,0.5372859743000262,0.7534294088652786,-0.07937841534271001,0.8629571181263268,0.530641457889116,0.6435997692150268,0.06302721535320441,-0.685254381623387,0.8753059309012959,0.8744514855949729,0.7423284339518593,0.6305941119696594
CTG,0.5703932726364324,0.20045871330677936,1.0005076142131983,0.5593565774228128,0.20315592833813503,-0.05162347707142032,-0.1921491191964764,0.4151406833221161,0.5467574898368518,-0.4342733274282876,0.4786070166128029,0.5170790440915206,0.3610724348361415,0.030663879466152295,0.3582779823255104,0.6982261263439182,-0.37903209789350073,-0.2820725805394591,-0.617742464026231,0.29535623411557754,-0.3375054447857518,0.20371316304618606,0.2406281569134767,0.7574313793627714,0.5754473737578719,-0.22640535405317805,0.37781014461246143,0.5106441221107543,0.4594263070361138,0.8639168839559099,-0.5770538088665856,0.4876065607951699,0.3910513772785654,0.18558918668089053,0.585345290660011
CII,0.6455617893135449,0.41664842842784533,0.5593565774228128,1.0005076142131983,0.22141652217613142,-0.21108977714010674,-0.6043820872382498,0.5047647795885208,0.7792913799738909,-0.6968967807948643,0.5785286993368369,0.8547797189228401,0.7795257495955066,-0.015446379420833142,0.7482690473054695,0.8331616735931029,-0.6034603331410101,-0.5128094982190151,-0.6917161059755162,0.7644747245319263,-0.3071782542926216,0.27861248772658515,0.5437968844569884,0.8156737689679123,0.6604401992251238,-0.5745010698476678,0.6042295256197171,0.8467995228953193,0.8376012892015797,0.4857980720765331,-0.6843951498189522,0.6789830589826622,0.6426962690871594,0.36875995013147156,0.8652273874289443
DPM,0.09129646016753323,0.5981446686705886,0.20315592833813503,0.22141652217613142,1.0005076142131983,-0.644037266921149,-0.23912359596887048,0.4819611895988449,0.2739841508392419,-0.07870656959273617,0.35926525448462326,0.3903099092388552,0.31591023320546513,-0.1467517939781696,0.6032501612878792,0.35857369408414613,-0.24302265977882676,0.0640392883045644,-0.06756125805211015,0.4008845183463648,0.22053668799849155,0.5954901373482754,0.3356178713211347,0.2573244372030427,0.28486783658021236,-0.05693390915626737,0.5835823315407217,0.21118294510094243,0.4549392236624253,-0.03561776355225163,-0.4685973651796883,0.502249537055062,0.5374133920396791,0.19144137626549465,0.1913395994471556
FLC,0.14581971511605235,-0.27303873837971476,-0.05162347707142032,-0.21108977714010674,-0.644037266921149,1.0005076142131988,0.26329372052597266,-0.19923767242449889,-0.019760761791057242,0.2767420956560945,-0.0013471916329165828,-0.14841258739611413,-0.13644813089621977,0.13785038839720326,-0.39999089304705365,-0.10312966066436084,0.2783600312422565,0.44641944644087445,0.1988973126800447,-0.2203166118841836,0.16454157895093413,-0.2043978963496299,0.009929361657974633,-0.15263238379259364,0.03808374675955256,0.36098737813575943,-0.21068383631313053,-0.07325998646231438,-0.35394827869613005,0.3181168880125502,0.4009097976903722,-0.1947352400288996,-0.08393784204103565,-0.04013122606127558,0.01576480844935377
EIB,-0.3894058127901019,-0.5286649142757611,-0.1921491191964764,-0.6043820872382498,-0.23912359596887048,0.26329372052597266,1.0005076142131981,-0.6300565984354223,-0.7288351235612793,0.7497550072269307,-0.587266391440495,-0.6983441310487722,-0.7438826005438883,-0.09348066309025331,-0.6922827119364325,-0.6254720706664535,0.806112575660204,0.4511244000403425,0.7405509298213763,-0.65672136810312,0.054539283086964985,-0.4169248447897222,-0.6094775018553702,-0.6644776994553542,-0.6035672369456155,0.7212079115917374,-0.5606769661060272,-0.7490589236368232,-0.7984017407916361,-0.06899667015542414,0.799012026057597,-0.72776163749998,-0.4769666406200787,-0.5153052981250575,-0.6731285308556236
DRC,0.3056744931914758,0.930252483757831,0.4151406833221161,0.5047647795885208,0.4819611895988449,-0.19923767242449889,-0.6300565984354223,1.0005076142131983,0.8450993834547424,-0.34618972885381527,0.8949254614434118,0.7015481025399889,0.8366761216489824,0.47726381952994457,0.8269039234207589,0.7787792538390209,-0.749070743826711,0.031973571301868,-0.6136130990881815,0.7772900681636802,0.3696614014403362,0.8157029765693501,0.8863932464934465,0.7383039278798206,0.8645299134119436,-0.23005493306776248,0.8203449363232033,0.6616704819217475,0.7234511641668521,0.2904300371362593,-0.8170437042612927,0.9367843874905483,0.8419291718889824,0.8003067476180749,0.7346275234389238
FPT,0.5933632149490538,0.7365473815309916,0.5467574898368518,0.7792913799738909,0.2739841508392419,-0.019760761791057242,-0.7288351235612793,0.8450993834547424,1.000507614213198,-0.5914049002768774,0.8961248221499957,0.8874377155629716,0.9253681991087183,0.29956471549991914,0.831497435018738,0.9289002062848292,-0.8102467304557004,-0.17527287687536894,-0.7417579669889087,0.8303845042075132,0.09273139045754689,0.5930107318012999,0.855991136240279,0.8780820651792652,0.9336359421700869,-0.4327685270080796,0.7984806521114446,0.8757221861557836,0.8582651146692457,0.5084162916247615,-0.8460593974086782,0.9307134006633105,0.8367498594202498,0.6466819543809726,0.9654338478204384
HAG,-0.6555133214303465,-0.16258217683287474,-0.4342733274282876,-0.6968967807948643,-0.07870656959273617,0.2767420956560945,0.7497550072269307,-0.34618972885381527,-0.5914049002768774,1.0005076142131981,-0.2791260358689085,-0.6701142767178662,-0.5500793145916635,0.25276064738121634,-0.534999548226052,-0.6106029142645081,0.7121179442351586,0.8102757168359632,0.8355489493901538,-0.4456530531281373,0.6064494609431933,-0.020892699305567974,-0.24819819328722362,-0.7604563528622579,-0.3873856913134716,0.9149681664765866,-0.2642981407697229,-0.8068305001704972,-0.7929270930213571,-0.3710532393887898,0.7129896479122421,-0.4996843216687073,-0.22401526848812342,-0.14256322772351382,-0.6097161491477956
HCM,0.3301668505769267,0.8400811755288424,0.4786070166128029,0.5785286993368369,0.35926525448462326,-0.0013471916329165828,-0.587266391440495,0.8949254614434118,0.8961248221499957,-0.2791260358689085,1.0005076142131981,0.7263753561610228,0.8272801804543155,0.4987667870754209,0.7488089898616289,0.8430105464729201,-0.6738828319155488,0.0974619560923146,-0.5661722555388362,0.7450702596188145,0.4093258647843725,0.7322458740278845,0.8946275654405124,0.7115023127386294,0.962389176294471,-0.10382886800438232,0.8395873436637395,0.6405879045990592,0.6571854170683513,0.39042246617719023,-0.7557781397723594,0.904068226449472,0.8627373249505069,0.7368202992138232,0.8195320787889424
GMD,0.7176026682194724,0.6210601755782215,0.5170790440915206,0.8547797189228401,0.3903099092388552,-0.14841258739611413,-0.6983441310487722,0.7015481025399889,0.8874377155629716,-0.6701142767178662,0.7263753561610228,1.0005076142131983,0.8654189006025444,0.03589397028105585,0.871525364668204,0.8987349043393843,-0.6998341354300665,-0.30994796875432146,-0.6528692995666983,0.8312632717804517,-0.10127213635752115,0.5331141973820678,0.6999603213190329,0.8420890752606457,0.7802672187592137,-0.5201627541844773,0.7760797042266213,0.8959903039515726,0.9174558475876702,0.49373971534373556,-0.8048961832285627,0.8596694215700338,0.798124185210631,0.4829874598502411,0.9078676437021929
