,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
BVH,1.0006257822277844,0.16504221410977304,0.5701429939276232,0.6511327299894432,0.09967639307428235,0.15038317044521882,-0.3927941868191691,0.3238402365905534,0.6080212765774036,-0.6602886925416604,0.34397805130573883,0.7251109176939033,0.5367873240221301,-0.2765417068429491,0.5033374442474969,0.6441839707053106,-0.35160637787334853,-0.29082068549620976,-0.49548368064930565,0.47845289773904165,-0.39174722350086205,0.06309014178479026,0.30853290471717276,0.7229049070995259,0.4889418772874369,-0.5133662392193176,0.2999338639856153,0.7862123347350056,0.6576341275685843,0.760057801376292,-0.4636996970787107,0.46889112886896633,0.4805112177718487,0.11208823392189135,0.6451651127395391
CSM,0.16504221410977304,1.0006257822277846,0.19654774349714374,0.4115044332346548,0.5931209185105003,-0.2602289252268985,-0.5416578557765684,0.9292198659489435,0.7343561341658383,-0.17290738667110123,0.835847533862174,0.6203204759433613,0.7933414924699141,0.42289103914482834,0.8386993222090939,0.6470199178421255,-0.637073583591048,0.17236715600783886,-0.38187371040937473,0.7818989738330142,0.5543125474210725,0.8729737906973438,0.8884869745406113,0.5329037054451653,0.7476015920573202,-0.0882551222742197,0.8591216810314927,0.5287026532518185,0.6422210239794387,0.06521744747617401,-0.6816817493972196,0.8739919886406614,0.8712783020764427,0.7384026203027713,0.62913161137003
CTG,0.5701429939276232,0.19654774349714374,1.0006257822277846,0.5586219133265481,0.19625692975432357,-0.0389967699199786,-0.19550198339951394,0.41674558047829674,0.5526881078945209,-0.44203800401074544,0.4846131014408003,0.5163366874986358,0.35957603476701505,0.029616436866242643,0.3550117576054744,0.7016368158935298,-0.3827192748765084,-0.2915620837661976,-0.6333598875441476,0.2906212445399205,-0.34004223494076513,0.201730952182782,0.23980909193089336,0.760617403718467,0.580809403353099,-0.22746712879143963,0.3791511824911037,0.5110532903115598,0.45844503062818337,0.8668942271491087,-0.5815596672143784,0.49005070829676317,0.38903531178087,0.17805042486367018,0.5888180830860099
CII,0.6511327299894432,0.4115044332346548,0.5586219133265481,1.0006257822277849,0.21851249786868768,-0.1996677845358284,-0.6066237594032116,0.5055066251585425,0.7791558393271911,-0.7047439581558322,0.5780872979276481,0.8543075855152609,0.7777468501407352,-0.01958063706478692,0.7453278889180355,0.8337507038874378,-0.6007956751442555,-0.5184567229033332,-0.7005627793095154,0.7621587933572533,-0.3128123023505309,0.27460113516113505,0.5416055058550137,0.8147124532389644,0.6592480190932076,-0.5787783044147987,0.6046066800495379,0.848828116871102,0.8359915036578804,0.487558521531915,-0.6825069991492599,0.6777280721521759,0.6422628238839103,0.36401080565010835,0.8651489998881079
DPM,0.09967639307428235,0.5931209185105003,0.19625692975432357,0.21851249786868768,1.0006257822277842,-0.6344814920283022,-0.26139514819946214,0.47955431179102415,0.2738826135696905,-0.0970203973445409,0.3544521035517872,0.38654761534404186,0.31513380925195894,-0.1552705322342717,0.6025508071794301,0.34890173293948845,-0.25124876803441354,0.04915857929407719,-0.08188120255584129,0.39593250892550635,0.21329243183199995,0.5917521772508055,0.33389672573333734,0.25706408439467526,0.2768578798661345,-0.0789976249121237,0.5774777492092152,0.21198715373521115,0.4582223947303095,-0.03580972379439057,-0.4703390375011783,0.4997734301037174,0.5263757057453393,0.1843577778505767,0.19159108267814595
FLC,0.15038317044521882,-0.2602289252268985,-0.0389967699199786,-0.1996677845358284,-0.6344814920283022,1.0006257822277844,0.27082658850257185,-0.1902019224336019,-0.008026097146377503,0.2868110353464838,0.01207468458185347,-0.1345312390018103,-0.12537355539594736,0.14196599969873047,-0.38620400929582444,-0.08431823923540611,0.28141409890999364,0.4619842967445425,0.2052392125118279,-0.20517097525638972,0.17125561496261898,-0.19104012492429662,0.020945425435061685,-0.1424029973259987,0.05381322538353352,0.37195214857888487,-0.19509068258294704,-0.0649787194628939,-0.34527296020025955,0.3239483730214458,0.3949678426228968,-0.18044235549751675,-0.0613299913068229,-0.029738962854608506,0.028923460159112218
EIB,-0.3927941868191691,-0.5416578557765684,-0.19550198339951394,-0.6066237594032116,-0.26139514819946214,0.27082658850257185,1.0006257822277842,-0.6445004421708724,-0.7283059769222728,0.7428801473080411,-0.5913622283491227,-0.6995305626017072,-0.7487527255727525,-0.09182156817675928,-0.7025660376793592,-0.6280811727350876,0.8052761710945019,0.43727227669235613,0.7341665443424582,-0.6644562602673244,0.044187712382929685,-0.42617770313236747,-0.6159411818481353,-0.6637192564269438,-0.6067763577587679,0.716299761224575,-0.5687573485737152,-0.7450026515735456,-0.8013488012825125,-0.06978440024866868,0.8033577123782981,-0.7345254277143712,-0.49111311133798424,-0.5223867457479482,-0.6684316730171086
DRC,0.3238402365905534,0.9292198659489435,0.41674558047829674,0.5055066251585425,0.47955431179102415,-0.1902019224336019,-0.6445004421708724,1.0006257822277844,0.8469458371967378,-0.3611630519884281,0.8926954109134949,0.7043313403607961,0.837768588712572,0.4666649232469841,0.8289395286159768,0.7754042250116673,-0.7507452959017327,0.026402874506222928,-0.6191792670137285,0.777449529085217,0.36499223068400377,0.8104047244047473,0.8852494123329612,0.7391103031753751,0.8622241510740111,-0.24090600346179988,0.8183608216374032,0.6636144092224922,0.7261312473889066,0.296978691584866,-0.8182188212811088,0.9383454518674105,0.8416044234594319,0.79409597357755,0.737008788259632
FPT,0.6080212765774036,0.7343561341658383,0.5526881078945209,0.7791558393271911,0.2738826135696905,-0.008026097146377503,-0.7283059769222728,0.8469458371967378,1.0006257822277849,-0.59501208172579,0.8955741330229817,0.8879294360252571,0.9246856495541074,0.2948592476811745,0.8318270609094645,0.9293050372901854,-0.8047480124351027,-0.17187328354820025,-0.7434287729498369,0.8297569941327412,0.0887911202827641,0.5896843575458605,0.8539238946857777,0.8784155746311831,0.9335893040865093,-0.43367289635127626,0.7979185621514664,0.8747313919509778,0.8568733961875367,0.5178737878933753,-0.8431612002806204,0.9309739208709362,0.8412886968324861,0.6424031339045082,0.9657825760396185
HAG,-0.6602886925416604,-0.17290738667110123,-0.44203800401074544,-0.7047439581558322,-0.0970203973445409,0.2868110353464838,0.7428801473080411,-0.3611630519884281,-0.59501208172579,1.000625782227785,-0.2835514716466441,-0.6727546430177396,-0.5573499127967988,0.2581870946208253,-0.5472955539202788,-0.6179677295261982,0.7144644285795057,0.8072357715083945,0.8384816716453402,-0.45355934699361217,0.6040751801493457,-0.026340688645781495,-0.2531219760023985,-0.7668292738754937,-0.3914500820358089,0.9133625253455553,-0.2718247162792929,-0.8105866856613244,-0.7997697310175392,-0.376230831104768,0.7197309615640539,-0.5068837513739395,-0.23842910621382796,-0.14484251313128282,-0.6100734636505253
HCM,0.34397805130573883,0.835847533862174,0.4846131014408003,0.5780872979276481,0.3544521035517872,0.01207468458185347,-0.5913622283491227,0.8926954109134949,0.8955741330229817,-0.2835514716466441,1.0006257822277846,0.7263241901810565,0.8250226567736619,0.4971902549752192,0.7465741884451264,0.8425685438535142,-0.6678263461362318,0.09930080825370327,-0.5679666412470441,0.742574533188055,0.4053169972969118,0.7280647004458356,0.8912642833017,0.7107544271080959,0.9621362729162778,-0.10413320738059975,0.8384471057691605,0.6371218958563893,0.6536510561616443,0.40005446605248546,-0.7528173052333056,0.9033025816166066,0.8636420017113139,0.731062752998582,0.8208376949070998
GMD,0.7251109176939033,0.6203204759433613,0.5163366874986358,0.8543075855152609,0.38654761534404186,-0.1345312390018103,-0.6995305626017072,0.7043313403607961,0.8879294360252571,-0.6727546430177396,0.7263241901810565,1.0006257822277844,0.8670969050873861,0.03393173649011012,0.8726323984384902,0.8976380026003469,-0.6967432464928767,-0.30799322723995953,-0.6560824897228241,0.8327065759311906,-0.10133444355357046,0.533477075001886,0.701086574408845,0.8400854436483298,0.7784622166355146,-0.5221441641053751,0.7785783914556742,0.8952758763951421,0.9159098629547452,0.4965646892820379,-0.8007678896453122,0.8598304199425558,0.8024494782533351,0.481062420031621,0.9095038001784005
HPG,0.5367873240221301,0.7933414924699141,0.35957603476701505,0.7777468501407352,0.31513380925195894,-0.12537355539594736,-0.7487527255727525,0.837768588712572,0.9246856495541074,-0.5573499127967988,0.8250226567736619,0.8670969050873861,1.000625782227785,0.30771044415353105,0.9131841517487627,0.8372878962942438,-0.7742265063092933,-0.18078728936803953,-0.6655131790279776,0.9510403887373189,0.1723094235775415,0.6395780103085675,0.8993855588426308,0.7924429940043297,0.8336985324815571,-0.4450712404083193,0.8192748625170198,0.8595765636892354,0.8821588432742723,0.3208804290463907,-0.7943814359987955,0.9052352150062324,0.880225538673451,0.6687239530000378,0.8987757201727421
IJC,-0.2765417068429491,0.42289103914482834,0.029616436866242643,-0.01958063706478692,-0.1552705322342717,0.14196599969873047,-0.09182156817675928,0.4666649232469841,0.2948592476811745,0.2581870946208253,0.4971902549752192,0.03393173649011012,0.30771044415353105,1.000625782227785,0.13261398750058626,0.1789004929141972,-0.1925827896538597,0.3252839321599503,-0.17192386870104923,0.25883083293500747,0.4856353904479694,0.4181175398713114,0.4675458428072569,0.13290093462557237,0.4586255866744899,0.30148230098772955,0.2802501716332497,-0.009584212828868,-0.03435277547677528,-0.00921828489585375,-0.176992923566207,0.3189118272687223,0.293718756948481,0.6023453603144219,0.2336039420165539
HSG,0.5033374442474969,0.8386993222090939,0.3550117576054744,0.7453278889180355,0.6025508071794301,-0.38620400929582444,-0.7025660376793592,0.8289395286159768,0.8318270609094645,-0.5472955539202788,0.7465741884451264,0.8726323984384902,0.9131841517487627,0.13261398750058626,1.000625782227785,0.8079470585260639,-0.7282176665969754,-0.20891081234430733,-0.5942838788105231,0.9145035082498546,0.12394842289882622,0.7306982165227864,0.7944357359596986,0.752610896840429,0.7351133463664701,-0.46141909469630077,0.8681991769549481,0.7976594819566114,0.9142247255560125,0.24561791738812022,-0.8240689470792114,0.9127842918090053,0.878439023861859,0.5899463884958599,0.7989936559410185
MBB,0.6441839707053106,0.6470199178421255,0.7016368158935298,0.8337507038874378,0.34890173293948845,-0.08431823923540611,-0.6280811727350876,0.7754042250116673,0.9293050372901854,-0.6179677295261982,0.8425685438535142,0.8976380026003469,0.8372878962942438,0.1789004929141972,0.8079470585260639,1.0006257822277849,-0.7268460336089022,-0.27046469032665366,-0.7616148123354503,0.7639800221261315,-0.07096516392461392,0.5482618024033037,0.7295967516958317,0.9096797653583244,0.8972932276724704,-0.41403110891725153,0.7795769352087785,0.8453051794903303,0.8510957041633742,0.6259475352277638,-0.8440280017866209,0.8907710196342163,0.8000900054116574,0.55729449944303,0.9239680879606615
MSN,-0.35160637787334853,-0.637073583591048,-0.3827192748765084,-0.6007956751442555,-0.25124876803441354,0.28141409890999364,0.8052761710945019,-0.7507452959017327,-0.8047480124351027,0.7144644285795057,-0.6678263461362318,-0.6967432464928767,-0.7742265063092933,-0.1925827896538597,-0.7282176665969754,-0.7268460336089022,1.0006257822277844,0.43549488784082996,0.8025993177146035,-0.6696787500569195,0.039553187905549805,-0.47446014979920564,-0.6923678955760428,-0.7536766093595801,-0.6873200159144864,0.6411599328510384,-0.636977596655928,-0.7561403913118602,-0.8104000783236042,-0.21350456333630854,0.8593562968352008,-0.7945837171495062,-0.5348043678740994,-0.5598650135568791,-0.7488359314806501
ITA,-0.29082068549620976,0.17236715600783886,-0.2915620837661976,-0.5184567229033332,0.04915857929407719,0.4619842967445425,0.43727227669235613,0.026402874506222928,-0.17187328354820025,0.8072357715083945,0.09930080825370327,-0.30799322723995953,-0.18078728936803953,0.3252839321599503,-0.20891081234430733,-0.27046469032665366,0.43549488784082996,1.0006257822277846,0.6465335672357033,-0.13781762091512623,0.7615083635265615,0.26314700971856025,0.15057415507336988,-0.4368623722193272,0.01278444427259275,0.7853828951626979,0.039551160281083596,-0.4476846905457598,-0.4675941036829711,-0.12270714014101812,0.4191876942451396,-0.0999733146931373,0.16268402408715185,0.1250952800510912,-0.2506070812828089
OGC,-0.49548368064930565,-0.38187371040937473,-0.6333598875441476,-0.7005627793095154,-0.08188120255584129,0.2052392125118279,0.7341665443424582,-0.6191792670137285,-0.7434287729498369,0.8384816716453402,-0.5679666412470441,-0.6560824897228241,-0.6655131790279776,-0.17192386870104923,-0.5942838788105231,-0.7616148123354503,0.8025993177146035,0.6465335672357033,1.000625782227785,-0.5383351217035711,0.37408489419380075,-0.29274265668316807,-0.4656410442614836,-0.8856849281926311,-0.645470958945443,0.7066940420704153,-0.4616456594925127,-0.7827231389972136,-0.7631999599362993,-0.4938672379104105,0.8476459137420044,-0.691956378499752,-0.394980502960729,-0.4346619827632031,-0.7303883641311375
