Day,VNINDEX,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE
2012-01-03,-1.7871452420701177,-0.35716034271725794,-2.432050274941084,-1.8955409486587307,-1.1452794941801976,-3.4952978056426365,1.144179894179894,-0.6465997770345602,-1.847846354652247,-0.9396759982947275,-0.43163981825691844,-1.1367469879518073,-1.024102726028839,-1.090830262302189,0.24470134874759206,-5.026361428456784,-1.3281250000000002,0.275406775140037,-0.5725646123260437,-0.11607142857142852,-2.189299171062547,-0.442447516641065,-2.865404076911957,-0.9528535980148884,-0.4860402281597117,-1.1453521126760564,-1.059593023255814,-2.5007153075822606,-0.34626732728386106,-1.0886677367576245,-0.8100227951441051,0.970779851339183,-1.707199391171994,-2.394065350421432,-1.0101010101010097,-0.8128329667414864
2012-01-04,-1.8088480801335565,-0.32900856793145605,-2.4406912804399052,-1.9150826079232537,-1.1955740767351624,-3.4952978056426365,1.382275132275132,-0.6800445930880716,-1.8500839082603022,-0.921912746909194,-0.45105328376703835,-1.1500000000000001,-1.0388380170508367,-1.0969000650336003,0.32755298651252457,-5.07602583269928,-1.3368055555555558,0.23306214990664156,-0.558648111332008,-0.15416666666666665,-2.2103993971363973,-0.4677931387608807,-2.889981205725026,-0.9415101028004255,-0.46472530771540066,-1.1735211267605634,-0.9709302325581396,-2.4730567477348595,-0.33234983020653547,-1.1009951845906905,-0.800068326530132,0.9686611698652872,-1.7157077625570774,-2.485278836162109,-1.0198761811665038,-0.807578066547055
2012-01-05,-1.8510016694490825,-0.36572827417380616,-2.4509033778476037,-1.863563688044057,-1.2135364276476497,-3.4952978056426365,1.5026455026455023,-0.6622073578595324,-1.8523214618683574,-0.9382549381838848,-0.47955390334572473,-1.160542168674699,-1.0530470476791916,-1.1081725558205069,0.10597302504817036,-5.1011356678809285,-1.3368055555555558,0.12670045345425435,-0.6143141153081509,-0.1809523809523809,-2.2420497362471736,-0.49313876088069625,-2.9015469134017646,-0.9365473236440979,-0.4632242569798859,-1.1881690140845071,-0.9244186046511629,-2.461611826418694,-0.3256694316094189,-1.1277046548956666,-0.7842825419825306,0.9581383852116032,-1.7227701674277018,-2.5609052072508978,-1.0133594004561746,-0.8323261441294005
2012-01-06,-1.8981636060100173,-0.44700122399020775,-2.4571877454831106,-1.8031621957718948,-1.2343727547061352,-3.4952978056426365,1.5912698412698407,-0.6978818283166116,-1.8553048666790977,-0.9396759982947275,-0.5287071458075174,-1.1722891566265061,-1.0446268813809072,-1.11597658790375,-0.04238921001926691,-5.151924591429946,-1.3454861111111114,0.04234462523339543,-0.6699801192842942,-0.20773809523809525,-2.2563677467972867,-0.49339477726574504,-2.918895474916872,-0.9315845444877703,-0.494446112278595,-1.215211267605634,-0.9331395348837208,-2.4892703862660945,-0.3395869286867445,-1.1400321027287321,-0.8661565737779279,0.9462737689577851,-1.7371841704718416,-2.594965939267986,-1.016617790811339,-0.8265958005840446
2012-01-09,-1.9194490818030057,-0.5505507955936346,-2.456402199528672,-1.8049387102504881,-1.2710159505676095,-3.4952978056426365,1.5555555555555551,-0.6622073578595324,-1.8586611970911806,-0.9382549381838848,-0.5229244114002477,-1.177409638554217,-1.0504157457109777,-1.124647734662909,-0.15414258188824603,-5.139155307418279,-1.3368055555555558,-0.08468925046679134,-0.6421471172962226,-0.19702380952380943,-2.3030896759608135,-0.5008192524321556,-2.900101199942172,-0.9415101028004255,-0.49594716301410985,-1.23943661971831,-0.8270348837209306,-2.4730567477348595,-0.416411512553582,-1.164686998394864,-0.9201698738904308,0.9331379438196293,-1.7410350076103502,-2.5118346611245843,-1.016617790811339,-0.8254197038738623
2012-01-10,-1.8760434056761275,-0.5481028151774782,-2.4375490966221522,-1.691241783620536,-1.2796378790056036,-3.4952978056426365,1.6759259259259254,-0.6086956521739132,-1.8553048666790977,-0.9265311922694326,-0.496902106567534,-1.1638554216867472,-1.0298915903589096,-1.1185779319314977,-0.22157996146435385,-5.0511019980040714,-1.3194444444444449,0.04201120298746301,-0.6143141153081509,-0.1809523809523809,-2.29178598342125,-0.4980030721966206,-2.8813069249674723,-0.9415101028004255,-0.5037526268387871,-1.194929577464789,-0.6991279069767441,-2.434907010014306,-0.48711239770639625,-1.164686998394864,-0.8719878897115569,0.931760800861597,-1.725372907153729,-2.4287033829811833,-1.0263929618768324,-0.8108060766664916
2012-01-11,-1.8171953255425715,-0.43892288861689077,-2.432835820895522,-1.6006395452122928,-1.2530535996551222,-3.4952978056426365,1.916666666666666,-0.5261984392419174,-1.845608801044192,-0.9194258917152193,-0.5059892606361006,-1.1521084337349399,-1.0504157457109777,-1.1185779319314977,-0.26589595375722486,-5.063540837674196,-1.2818287037037042,0.20138703654307785,-0.5864811133200796,-0.1702380952380952,-2.2706857573473997,-0.45729646697388626,-2.872632644209918,-0.9266217653314427,-0.4974482137496247,-1.1600000000000001,-0.5348837209302326,-2.4329995231282786,-0.43700940822802375,-1.1626324237560197,-0.7425208955487629,0.9299599216087854,-1.7202130898021306,-2.383673940653507,-1.0263929618768324,-0.7996206462526306
2012-01-12,-1.8151085141903178,-0.3294981640146873,-2.448546739984289,-1.561556226683247,-1.2616755280931162,-3.4952978056426365,1.9682539682539677,-0.3188405797101449,-1.8500839082603022,-0.9229785419923259,-0.5146633622470053,-1.1620481927710844,-1.0419955794126934,-1.1133752438760023,-0.47013487475915167,-5.07602583269928,-1.2644675925925928,0.3390904241130968,-0.6560636182902584,-0.19702380952380943,-2.306857573474001,-0.4450076804915515,-2.8813069249674723,-0.9365473236440979,-0.4875412788952266,-1.1847887323943664,-0.5436046511627906,-2.4682880305197905,-0.346824027166954,-1.1585232744783311,-0.6461569271910145,0.9230388954607247,-1.7327397260273971,-2.323057383673943,-1.0296513522319972,-0.8125827333988944
2012-01-13,-1.7858931552587651,-0.23941248470012202,-2.441476826394344,-1.323503286551785,-1.2307802845236377,-3.4952978056426365,2.002645502645502,-0.3166109253065779,-1.85418608987507,-0.9155179764104017,-0.5109458901280461,-1.1521084337349399,-1.012524997368698,-1.1021027530890957,-0.4990366088631976,-5.063540837674196,-1.221064814814815,0.4344491864497199,-0.6282306163021868,-0.18630952380952373,-2.3106254709871887,-0.42708653353814635,-2.8552840826948107,-0.9365473236440979,-0.4749324527169018,-1.1701408450704227,-0.561046511627907,-2.4625655698617073,-0.4024940154762564,-1.1564686998394866,-0.5684649502571083,0.9227917159554371,-1.7247945205479454,-2.2485856136704796,-1.0296513522319972,-0.8020979563442912
2012-01-14,-1.8427378964941576,-0.42129742962056244,-2.443362136684996,-1.5963759104636701,-1.2592326483690177,-3.4952978056426365,1.8238095238095235,-0.48651059085841747,-1.8527689725899685,-0.924541708114253,-0.5102850061957867,-1.1615060240963857,-1.0370487317124513,-1.1154563190982003,-0.3221579961464348,-5.0786729626940055,-1.2847222222222225,0.18644971992531334,-0.6254473161033793,-0.18630952380952354,-2.296608892238131,-0.46564260112647204,-2.8781263553563687,-0.9365473236440979,-0.49192434704293,-1.1898591549295776,-0.6331395348837208,-2.4543633762517887,-0.4179702722262424,-1.161399678972713,-0.7498601073197747,0.9281378555412348,-1.7288310502283104,-2.3791709964207395,-1.0257412838058002,-0.8101054233072339
