Year,VNINDEX,BVH,CSM,CTG,CII,DPM,FLC,EIB,DRC,FPT,HAG,HCM,GMD,HPG,IJC,HSG,MBB,MSN,ITA,OGC,KDC,PVD,PPC,PVT,VCB,SSI,STB,REE,VIC,VNM,NGANHANG,KHOANGSAN,NANGLUONG,VN30,UPCOM,CONGNGHE,VNINDEX_is_outlier,VNINDEX_Cleaned,BVH_is_outlier,BVH_Cleaned,CSM_is_outlier,CSM_Cleaned,CTG_is_outlier,CTG_Cleaned,CII_is_outlier,CII_Cleaned,DPM_is_outlier,DPM_Cleaned,FLC_is_outlier,FLC_Cleaned,EIB_is_outlier,EIB_Cleaned,DRC_is_outlier,DRC_Cleaned,FPT_is_outlier,FPT_Cleaned,HAG_is_outlier,HAG_Cleaned,HCM_is_outlier,HCM_Cleaned,GMD_is_outlier,GMD_Cleaned,HPG_is_outlier,HPG_Cleaned,IJC_is_outlier,IJC_Cleaned,HSG_is_outlier,HSG_Cleaned,MBB_is_outlier,MBB_Cleaned,MSN_is_outlier,MSN_Cleaned,ITA_is_outlier,ITA_Cleaned,OGC_is_outlier,OGC_Cleaned,KDC_is_outlier,KDC_Cleaned,PVD_is_outlier,PVD_Cleaned,PPC_is_outlier,PPC_Cleaned,PVT_is_outlier,PVT_Cleaned,VCB_is_outlier,VCB_Cleaned,SSI_is_outlier,SSI_Cleaned,STB_is_outlier,STB_Cleaned,REE_is_outlier,REE_Cleaned,VIC_is_outlier,VIC_Cleaned,VNM_is_outlier,VNM_Cleaned,NGANHANG_is_outlier,NGANHANG_Cleaned,KHOANGSAN_is_outlier,KHOANGSAN_Cleaned,NANGLUONG_is_outlier,NANGLUONG_Cleaned,VN30_is_outlier,VN30_Cleaned,UPCOM_is_outlier,UPCOM_Cleaned,CONGNGHE_is_outlier,CONGNGHE_Cleaned
2012-01-03,351.65,36.775,3.08,10.015,9.965,12.155,11.375,11.315,5.225,15.83,13.425,7.885,9.63,3.745,8.83,1.73,6.65,57.245,4.76,7.16,8.62,18.785,4.415,2.33,11.23,8.505,10.195,6.64,24.97,28.51,352.715,350.835,350.455,380.15,33.7,345.5,False,351.65,False,36.775,False,3.08,False,10.015,False,9.965,True,14.175,False,11.375,False,11.315,False,5.225,False,15.83,False,13.425,False,7.885,False,9.63,False,3.745,False,8.83,False,1.73,False,6.65,False,57.245,False,4.76,False,7.16,False,8.62,False,18.785,False,4.415,False,2.33,False,11.23,False,8.505,False,10.195,False,6.64,False,24.97,False,28.51,False,352.715,False,350.835,False,350.455,True,386.3,False,33.7,False,345.5
2012-01-04,349.05,37.35,3.025,9.96,9.615,11.85,12.275,11.24,5.195,16.08,13.19,7.665,9.49,3.675,9.045,1.69,6.62,56.61,4.795,6.84,8.48,18.29,4.33,2.41,11.585,8.255,10.5,6.785,25.095,28.03,353.56,350.535,347.66,372.25,33.55,346.55,False,349.05,False,37.35,False,3.025,False,9.96,False,9.615,True,14.175,False,12.275,False,11.24,False,5.195,False,16.08,False,13.19,False,7.665,False,9.49,False,3.675,False,9.045,False,1.69,False,6.62,False,56.61,False,4.795,False,6.84,False,8.48,False,18.29,False,4.33,False,2.41,False,11.585,False,8.255,False,10.5,False,6.785,False,25.095,False,28.03,False,353.56,False,350.535,False,347.66,True,386.3,False,33.55,False,346.55
2012-01-05,344.0,36.6,2.96,10.105,9.49,11.72,12.73,11.28,5.165,15.85,12.845,7.49,9.355,3.545,8.47,1.67,6.62,55.015,4.655,6.615,8.27,17.795,4.29,2.445,11.61,8.125,10.66,6.845,25.155,26.99,354.9,349.045,345.34,365.7,33.65,341.605,False,344.0,False,36.6,False,2.96,False,10.105,False,9.49,True,14.175,False,12.73,False,11.28,False,5.165,False,15.85,False,12.845,False,7.49,False,9.355,False,3.545,False,8.47,False,1.67,False,6.62,False,55.015,False,4.655,False,6.615,False,8.27,False,17.795,False,4.29,False,2.445,False,11.61,False,8.125,False,10.66,False,6.845,False,25.155,False,26.99,False,354.9,False,349.045,False,345.34,True,386.3,False,33.65,False,341.605
2012-01-06,338.35,34.94,2.92,10.275,9.345,11.62,13.065,11.2,5.125,15.83,12.25,7.295,9.435,3.455,8.085,1.63,6.59,53.75,4.515,6.39,8.175,17.79,4.23,2.48,11.09,7.885,10.63,6.7,25.03,26.51,347.95,347.365,340.605,362.75,33.6,342.75,False,338.35,False,34.94,False,2.92,False,10.275,False,9.345,True,14.175,False,13.065,False,11.2,False,5.125,False,15.83,False,12.25,False,7.295,False,9.435,False,3.455,False,8.085,False,1.63,False,6.59,False,53.75,False,4.515,False,6.39,False,8.175,False,17.79,False,4.23,False,2.48,False,11.09,False,7.885,False,10.63,False,6.7,False,25.03,False,26.51,False,347.95,False,347.365,False,340.605,True,386.3,False,33.6,False,342.75
2012-01-09,335.8,32.825,2.925,10.27,9.09,11.69,12.93,11.28,5.08,15.85,12.32,7.21,9.38,3.355,7.795,1.64,6.62,51.845,4.585,6.48,7.865,17.645,4.295,2.41,11.065,7.67,10.995,6.785,24.34,25.55,343.365,345.505,339.34,369.95,33.6,342.985,False,335.8,False,32.825,False,2.925,False,10.27,False,9.09,True,14.175,False,12.93,False,11.28,False,5.08,False,15.85,False,12.32,False,7.21,False,9.38,False,3.355,False,7.795,False,1.64,False,6.62,False,51.845,False,4.585,False,6.48,False,7.865,False,17.645,False,4.295,False,2.41,False,11.065,False,7.67,False,10.995,False,6.785,False,24.34,False,25.55,False,343.365,False,345.505,False,339.34,True,386.3,False,33.6,False,342.985
2012-01-10,341.0,32.875,3.045,10.59,9.03,11.975,13.385,11.4,5.125,16.015,12.635,7.435,9.575,3.425,7.62,1.71,6.68,53.745,4.655,6.615,7.94,17.7,4.36,2.41,10.935,8.065,11.435,6.985,23.705,25.55,347.455,345.31,344.485,377.15,33.45,345.905,False,341.0,False,32.875,False,3.045,False,10.59,False,9.03,True,14.175,False,13.385,False,11.4,False,5.125,False,16.015,False,12.635,False,7.435,False,9.575,False,3.425,False,7.62,False,1.71,False,6.68,False,53.745,False,4.655,False,6.615,False,7.94,False,17.7,False,4.36,False,2.41,False,10.935,False,8.065,False,11.435,False,6.985,False,23.705,False,25.55,False,347.455,False,345.31,False,344.485,True,386.3,False,33.45,False,345.905
2012-01-11,348.05,35.105,3.075,10.845,9.215,12.26,14.295,11.585,5.255,16.115,12.525,7.63,9.38,3.425,7.505,1.7,6.81,56.135,4.725,6.705,8.08,18.495,4.39,2.515,11.04,8.375,12.0,6.995,24.155,25.63,358.445,345.055,346.18,381.05,33.45,348.14,False,348.05,False,35.105,False,3.075,False,10.845,False,9.215,True,14.175,False,14.295,False,11.585,False,5.255,False,16.115,False,12.525,False,7.63,False,9.38,False,3.425,False,7.505,False,1.7,False,6.81,False,56.135,False,4.725,False,6.705,False,8.08,False,18.495,False,4.39,False,2.515,False,11.04,False,8.375,False,12.0,False,6.995,False,24.155,False,25.63,False,358.445,False,345.055,False,346.18,True,386.3,False,33.45,False,348.14
2012-01-12,348.3,37.34,2.975,10.955,9.155,12.15,14.49,12.05,5.195,16.065,12.42,7.465,9.46,3.485,6.975,1.69,6.87,58.2,4.55,6.48,7.84,18.735,4.36,2.445,11.205,8.155,11.97,6.81,24.965,25.79,366.625,344.075,342.065,386.3,33.4,345.55,False,348.3,False,37.34,False,2.975,False,10.955,False,9.155,True,14.175,False,14.49,False,12.05,False,5.195,False,16.065,False,12.42,False,7.465,False,9.46,False,3.485,False,6.975,False,1.69,False,6.87,False,58.2,False,4.55,False,6.48,False,7.84,False,18.735,False,4.36,False,2.445,False,11.205,False,8.155,False,11.97,False,6.81,False,24.965,False,25.79,False,366.625,False,344.075,False,342.065,False,386.3,False,33.4,False,345.55
2012-01-13,351.8,39.18,3.02,11.625,9.37,12.205,14.62,12.055,5.14,16.17,12.465,7.63,9.74,3.615,6.9,1.7,7.02,59.63,4.62,6.57,7.815,19.085,4.45,2.445,11.415,8.285,11.91,6.84,24.465,25.87,373.22,344.04,344.675,392.75,33.4,347.645,False,351.8,False,39.18,False,3.02,False,11.625,False,9.37,True,14.175,False,14.62,False,12.055,False,5.14,False,16.17,False,12.465,False,7.63,False,9.74,False,3.615,False,6.9,False,1.7,False,7.02,False,59.63,False,4.62,False,6.57,False,7.815,False,19.085,False,4.45,False,2.445,False,11.415,False,8.285,False,11.91,False,6.84,False,24.465,False,25.87,False,373.22,False,344.04,False,344.675,False,392.75,False,33.4,False,347.645
2012-01-16,358.15,39.4,3.09,11.97,9.525,12.155,14.495,11.835,5.345,16.585,12.8,7.89,9.765,3.685,6.87,1.77,7.205,63.125,4.725,6.75,7.835,19.29,4.48,2.515,11.525,8.625,11.845,6.925,24.275,25.71,374.36,344.115,344.92,396.1,33.35,352.52,False,358.15,False,39.4,False,3.09,False,11.97,False,9.525,True,14.175,False,14.495,False,11.835,False,5.345,False,16.585,False,12.8,False,7.89,False,9.765,False,3.685,False,6.87,False,1.77,False,7.205,False,63.125,False,4.725,False,6.75,False,7.835,False,19.29,False,4.48,False,2.515,False,11.525,False,8.625,False,11.845,False,6.925,False,24.275,False,25.71,False,374.36,False,344.115,False,344.92,False,396.1,False,33.35,False,352.52
